variable,,role,,label,,,,,labelLong,,,,,,,section,,subject,,variableType,,units,,databaseStart,,,,,variableStart,,,,,,,,description
HWMDBMI,,Predictor,,Body mass index,,,,,Body Mass Index - (D),,,,,,,Health status,,BMI,,Continuous,,kg/m2,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[HWMDBMI],,,,,,,,
IMG_03,,Predictor,,Immigration status,,,,,Landed immigrant	,,,,,,,Sociodemographics,,Immigration,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::SDCFIMM, cycle2::SDCFIMM, cycle3::IMM_03, cycle4::IMM_03, [IMG_03]",,,,,,,,
imputed,,,,Household income imputation flag,,,,,Household income imputation flag (2 categories - yes/no),,,,,,,Sociodemographics,,Income,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[THIFIMP4],,,,,,,,
incQ,,Predictor,,Household income,,,,,Adjusted household income quintile,,,,,,,Sociodemographics,,Income,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[adj_hh_inc],,,,,,,,
incQ1,,Predictor,,Household income status,,,,,Lowest household income quintile (yes/no),,,,,,,Sociodemographics,,Income,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[incQ],,,,,,,,
insample,,Inclusion criteria,,Study inclusion status,,,,,Included in study sample,,,,,,,N/A,,N/A,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[agegroup2079, highBP14090, PRS_11]",,,,,,,,
LAB_ALKP,,Predictor,,Alkaline phosphatase,,,,,Alkaline phosphatase (U/L),,,,,,,Health status,,Chronic disease,,Continuous,,U/L,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_ALKP],,,,,,,,Indicator of alcohol consumption
LAB_ALT,,Predictor,,Alanine aminotransferase,,,,,Alanine aminotransferase (ALT) (U/L),,,,,,,Health status,,Chronic disease,,Continuous,,U/L,,"cycle1, cycle2, cycle4, cycle6",,,,,[LAB_ALT],,,,,,,,Indicator of alcohol consumption
LAB_BCRE,,Intermediate,,Blood creatine,,,,,Blood creatinine (µmol/L)	,,,,,,,Health status,,Chronic disease,,Continuous,,µmol/L,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_BCRE],,,,,,,,
LAB_BPB,,Predictor,,Blood lead,,,,,Blood lead (µmol/L)	,,,,,,,Health status,,Chronic disease,,Continuous,,µmol/L,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_BPB],,,,,,,,
LAB_CHOL,,Predictor,,Total cholesterol,,,,,Total cholesterol (mmol/L),,,,,,,Health status,,Chronic disease,,Continuous,,mmol/L,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_CHOL],,,,,,,,
LAB_GGT,,Predictor,,Gamma-glutamyltransferase,,,,,Gamma-glutamyltransferase (GGT) (U/L),,,,,,,Health status,,Chronic disease,,Continuous,,U/L,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_GGT],,,,,,,,Indicator of alcohol consumption
LAB_HBA1,,Predictor,,Hemoglobin A1c level,,,,,Glycated hemoglobin A1c (HbA1c),,,,,,,Health status,,Chronic disease,,Continuous,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HBA1],,,,,,,,
LAB_HDL,,Predictor,,HDL cholesterol,,,,,High-density lipoprotein cholesterol (HDL) (mmol/L),,,,,,,Health status,,Chronic disease,,Continuous,,mmol/L,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HDL],,,,,,,,
LAB_UNA,,Predictor,,Urinary sodium excretion,,,,,Sodium (mmol/L) - MEC urine,,,,,,,Health behaviour,,Diet,,Continuous,,mmol/L,,"cycle5, cycle6",,,,,[LAB_UNA],,,,,,,,Indicator of sodium consumption
LAFCOC16,,Predictor,,Occupation classification,,,,,National Occupational Classification - Statistics (NOC-S) 2016,,,,,,,Sociodemographics,,Occupation,,Continuous,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::LBF_SOC, cycle2:LBF_SOC, cycle3::LAFCSO01, cycle4::LAFCOC11, [LAFCOC16]",,,,,,,,
LMH_016,,Predictor,,Working hours,,,,,Number of hours worked per week,,,,,,,Sociodemographics,,Occupation,,Continuous,,hours/week,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::LBFDHPW, cycle2:LBFDHPW, cycle3::LFH_16, cycle4::LFH_16, [LMH_016]",,,,,,,,
low_drink_score,,Predictor,,Low risk drinking score ,,,,,Low risk drinking score ,,,,,,,Health behaviour,,Alcohol,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[CLC_SEX, ALCDWKY]",,,,,,,,
low_drink_score1,,Predictor,,Low risk drinking score - former/never categories,,,,,Low risk drinking score - former/never drinking categories,,,,,,,Health behaviour,,Alcohol,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[CLC_SEX, ALCDWKY, ALC_17, ALC_11]",,,,,,,,
married,,Predictor,,Married or common-law,,,,,Marital status (2 groups),,,,,,,Sociodemographics,,Marital status,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,
MDCD04Y,,Predictor,,Milk consumption in year,,,,,Drinks or uses milk or flavoured milk - times per year - (D)	,,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::MDCD11Y, cycle2::MDCD11Y, [MDCD04Y]",,,,,,,,
MEUCATC,,Intermediate,,Prescription medication - ATC,,,,,Anatomical Therapeutic Chemical (ATC) classification,,,,,,,Health behaviour,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::[ATC_101A, ATC_102A, ATC_103A, ATC_104A, ATC_105A, ATC_106A, ATC_107A, ATC_108A, ATC_109A, ATC_110A, ATC_111A, ATC_112A, ATC_113A, ATC_114A, ATC_115A, ATC_201A, ATC_202A, ATC_203A, ATC_204A, ATC_205A, ATC_206A, ATC_207A, ATC_208A, ATC_209A, ATC_210A, ATC_211A, ATC_212A, ATC_213A, ATC_214A, ATC_215A, ATC_131A, ATC_132A, ATC_133A, ATC_134A, ATC_135A, ATC_231A, ATC_232A, ATC_233A, ATC_234A, ATC_235A], cycle2::[ATC_101A, ATC_102A, ATC_103A, ATC_104A, ATC_105A, ATC_106A, ATC_107A, ATC_108A, ATC_109A, ATC_110A, ATC_111A, ATC_112A, ATC_113A, ATC_114A, ATC_115A, ATC_201A, ATC_202A, ATC_203A, ATC_204A, ATC_205A, ATC_206A, ATC_207A, ATC_208A, ATC_209A, ATC_210A, ATC_211A, ATC_212A, ATC_213A, ATC_214A, ATC_215A, ATC_131A, ATC_132A, ATC_133A, ATC_134A, ATC_135A, ATC_231A, ATC_232A, ATC_233A, ATC_234A, ATC_235A], [MEUCATC]",,,,,,,,
minperweek,,Predictor,,Minutes of exercise per week (Acceloremeter Days 1-7),,,,,Total moderate-to-vigorous physical activity - Days 1-7 (min/week),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/week,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[MVPA_min],,,,,,,,
MISCmed,,,,Other antihypertension drugs,,,,,Taking other antihypertension drugs,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
MVPA150wk,,Predictor,,Exercises 150 min/week (Accelerometer Days 1-7) ,,,,,Exercises 150 min/week based on week-long accelerometer data,,,,,,,Health behaviour,,Exercise,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[minperweek],,,,,,,,
MVPA_min,,Intermediate,,Average minutes of exercise per day (Acceloremeter Days 1-7),,,,,Averaged moderate-to-vigorous physical activity - Days 1-7 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[AMMDMVA1, AMMDMVA2, AMMDMVA3, AMMDMVA4, AMMDMVA5, AMMDMVA6, AMMDMVA7]",,,,,,,,
noHSgrad,,Predictor,,Education status,,,,,Education status wrt high school graduation (yes/no),,,,,,,Sociodemographics,,Education,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[EDUDR04],,,,,,,,
nonHDL,,Predictor,,non-HDL cholesterol,,,,,non-HDL cholesterol,,,,,,,Health status,,Chronic disease,,Continuous,,mmol/L,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[LAB_CHOL, LAB_HDL]",,,,,,,,
NonHDLtodd,,Predictor,,High non-HDL cholesterol status,,,,,At or above 4.3 mmol/L of NonHDL,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[nonHDL],,,,,,,,
