variable,,dummyVariable,,,typeEnd,databaseStart,,,,,variableStart,,,,,,,,typeStart,recEnd,,,,numValidCat,,catLabel,,catLabelLong,,units,,recStart,,catStartLabel,,,,,variableStartShortLabel,,,,,variableStartLabel,,,,,,,notes
ALCDWKY,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[ALCDWKY],,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,drinks/week,,"[997, 999]",,Don't know (997); Refusal (998); Not stated (999),,,,,Drinks in week,,,,,"	Weekly consumption - (D)",,,,,,,
ALCDWKY,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[ALCDWKY],,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,drinks/week,,else,,else,,,,,Drinks in week,,,,,"	Weekly consumption - (D)",,,,,,,
AMMDMVA1,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA1, [AMMDMVA1]",,,,,,,,cont,copy,,,,N/A,,minutes/day,,minutes/day,,minutes/day,,"[0, 404]",,Minutes per day,,,,,Minutes of exercise per day (accelerometer Day 1),,,,,Total moderate-to-vigorous physical activity - Day 1 (min/day),,,,,,,
AMMDMVA1,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA1, [AMMDMVA1]",,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,minutes/day,,9996,,Valid skip ,,,,,Minutes of exercise per day (accelerometer Day 1),,,,,Total moderate-to-vigorous physical activity - Day 1 (min/day),,,,,,,
AMMDMVA1,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA1, [AMMDMVA1]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,"[9997, 9999]",,Don't know (9997); Refusal (9998); Not stated (9999),,,,,Minutes of exercise per day (accelerometer Day 1),,,,,Total moderate-to-vigorous physical activity - Day 1 (min/day),,,,,,,
AMMDMVA1,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA1, [AMMDMVA1]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,else,,else,,,,,Minutes of exercise per day (accelerometer Day 1),,,,,Total moderate-to-vigorous physical activity - Day 1 (min/day),,,,,,,
AMMDMVA2,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA2, [AMMDMVA2]",,,,,,,,cont,copy,,,,N/A,,minutes/day,,minutes/day,,minutes/day,,"[0, 404]",,Minutes per day,,,,,Minutes of exercise per day (accelerometer Day 2),,,,,Total moderate-to-vigorous physical activity - Day 2 (min/day),,,,,,,
AMMDMVA2,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA2, [AMMDMVA2]",,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,minutes/day,,9996,,Valid skip ,,,,,Minutes of exercise per day (accelerometer Day 2),,,,,Total moderate-to-vigorous physical activity - Day 2 (min/day),,,,,,,
AMMDMVA2,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA2, [AMMDMVA2]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,"[9997, 9999]",,Don't know (9997); Refusal (9998); Not stated (9999),,,,,Minutes of exercise per day (accelerometer Day 2),,,,,Total moderate-to-vigorous physical activity - Day 2 (min/day),,,,,,,
AMMDMVA2,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA2, [AMMDMVA2]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,else,,else,,,,,Minutes of exercise per day (accelerometer Day 2),,,,,Total moderate-to-vigorous physical activity - Day 2 (min/day),,,,,,,
AMMDMVA3,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA3, [AMMDMVA3]",,,,,,,,cont,copy,,,,N/A,,minutes/day,,minutes/day,,minutes/day,,"[0, 404]",,Minutes per day,,,,,Minutes of exercise per day (accelerometer Day 3),,,,,Total moderate-to-vigorous physical activity - Day 3 (min/day),,,,,,,
AMMDMVA3,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA3, [AMMDMVA3]",,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,minutes/day,,9996,,Valid skip ,,,,,Minutes of exercise per day (accelerometer Day 3),,,,,Total moderate-to-vigorous physical activity - Day 3 (min/day),,,,,,,
AMMDMVA3,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA3, [AMMDMVA3]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,"[9997, 9999]",,Don't know (9997); Refusal (9998); Not stated (9999),,,,,Minutes of exercise per day (accelerometer Day 3),,,,,Total moderate-to-vigorous physical activity - Day 3 (min/day),,,,,,,
AMMDMVA3,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA3, [AMMDMVA3]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,else,,else,,,,,Minutes of exercise per day (accelerometer Day 3),,,,,Total moderate-to-vigorous physical activity - Day 3 (min/day),,,,,,,
AMMDMVA4,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA4, [AMMDMVA4]",,,,,,,,cont,copy,,,,N/A,,minutes/day,,minutes/day,,minutes/day,,"[0, 404]",,Minutes per day,,,,,Minutes of exercise per day (accelerometer Day 4),,,,,Total moderate-to-vigorous physical activity - Day 4 (min/day),,,,,,,
AMMDMVA4,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA4, [AMMDMVA4]",,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,minutes/day,,9996,,Valid skip ,,,,,Minutes of exercise per day (accelerometer Day 4),,,,,Total moderate-to-vigorous physical activity - Day 4 (min/day),,,,,,,
AMMDMVA4,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA4, [AMMDMVA4]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,"[9997, 9999]",,Don't know (9997); Refusal (9998); Not stated (9999),,,,,Minutes of exercise per day (accelerometer Day 4),,,,,Total moderate-to-vigorous physical activity - Day 4 (min/day),,,,,,,
AMMDMVA4,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA4, [AMMDMVA4]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,else,,else,,,,,Minutes of exercise per day (accelerometer Day 4),,,,,Total moderate-to-vigorous physical activity - Day 4 (min/day),,,,,,,
AMMDMVA5,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA5, [AMMDMVA5]",,,,,,,,cont,copy,,,,N/A,,minutes/day,,minutes/day,,minutes/day,,"[0, 404]",,Minutes per day,,,,,Minutes of exercise per day (accelerometer Day 5),,,,,Total moderate-to-vigorous physical activity - Day 5 (min/day),,,,,,,
AMMDMVA5,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA5, [AMMDMVA5]",,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,minutes/day,,9996,,Valid skip ,,,,,Minutes of exercise per day (accelerometer Day 5),,,,,Total moderate-to-vigorous physical activity - Day 5 (min/day),,,,,,,
AMMDMVA5,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA5, [AMMDMVA5]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,"[9997, 9999]",,Don't know (9997); Refusal (9998); Not stated (9999),,,,,Minutes of exercise per day (accelerometer Day 5),,,,,Total moderate-to-vigorous physical activity - Day 5 (min/day),,,,,,,
AMMDMVA5,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA5, [AMMDMVA5]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,else,,else,,,,,Minutes of exercise per day (accelerometer Day 5),,,,,Total moderate-to-vigorous physical activity - Day 5 (min/day),,,,,,,
AMMDMVA6,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA6, [AMMDMVA6]",,,,,,,,cont,copy,,,,N/A,,minutes/day,,minutes/day,,minutes/day,,"[0, 404]",,Minutes per day,,,,,Minutes of exercise per day (accelerometer Day 6),,,,,Total moderate-to-vigorous physical activity - Day 6 (min/day),,,,,,,
AMMDMVA6,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA6, [AMMDMVA6]",,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,minutes/day,,9996,,Valid skip ,,,,,Minutes of exercise per day (accelerometer Day 6),,,,,Total moderate-to-vigorous physical activity - Day 6 (min/day),,,,,,,
AMMDMVA6,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA6, [AMMDMVA6]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,"[9997, 9999]",,Don't know (9997); Refusal (9998); Not stated (9999),,,,,Minutes of exercise per day (accelerometer Day 6),,,,,Total moderate-to-vigorous physical activity - Day 6 (min/day),,,,,,,
AMMDMVA6,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA6, [AMMDMVA6]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,else,,else,,,,,Minutes of exercise per day (accelerometer Day 6),,,,,Total moderate-to-vigorous physical activity - Day 6 (min/day),,,,,,,
AMMDMVA7,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA7, [AMMDMVA7]",,,,,,,,cont,copy,,,,N/A,,minutes/day,,minutes/day,,minutes/day,,"[0, 404]",,Minutes per day,,,,,Minutes of exercise per day (accelerometer Day 7),,,,,Total moderate-to-vigorous physical activity - Day 7 (min/day),,,,,,,
AMMDMVA7,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA7, [AMMDMVA7]",,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,minutes/day,,9996,,Valid skip ,,,,,Minutes of exercise per day (accelerometer Day 7),,,,,Total moderate-to-vigorous physical activity - Day 7 (min/day),,,,,,,
AMMDMVA7,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA7, [AMMDMVA7]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,"[9997, 9999]",,Don't know (9997); Refusal (9998); Not stated (9999),,,,,Minutes of exercise per day (accelerometer Day 7),,,,,Total moderate-to-vigorous physical activity - Day 7 (min/day),,,,,,,
AMMDMVA7,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA7, [AMMDMVA7]",,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,minutes/day,,else,,else,,,,,Minutes of exercise per day (accelerometer Day 7),,,,,Total moderate-to-vigorous physical activity - Day 7 (min/day),,,,,,,
ANYmed,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,Func::is_any_antiHTN_med,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Antihypertension medication,,,,,Taking ANY antihypertension drugs,,,,,,,"Derived from MEUCATC, NPI_25A, and NPI_25B"
